time,cumm_vehicles_left,cumm_vehicles_right,density_left,density_right,vehicles_left,vehicles_right
887.8000000000001,2076,2018,0.20261192733840439,0.1905647136116586,1056,1007
887.84,2076,2018,0.18907297419332425,0.18732455354476496,1020,1011
887.88,2076,2018,0.18941335834114825,0.17399062294690315,1056,1007
887.9200000000001,2076,2018,0.18873953666076204,0.16868243445021802,1020,1011
887.96,2076,2018,0.19292834566357542,0.17156423580003588,1056,1007
888.0,2076,2018,0.21402521621339998,0.16373260467060857,1020,1011
888.04,2076,2019,0.21847799659615852,0.15672221226781347,1056,1008
888.08,2076,2019,0.22168038623180852,0.17093710804515316,1020,1011
888.12,2076,2019,0.2207703796325241,0.14509795138266735,1056,1008
888.16,2076,2019,0.21312215622937725,0.13100250851101958,1020,1011
888.2,2076,2019,0.2096002222916884,0.11849728244639546,1056,1008
888.24,2076,2019,0.20502240283421902,0.12663501164665836,1020,1011
888.28,2076,2019,0.20019450522732796,0.1324732724123514,1056,1008
888.32,2076,2020,0.19406759056649647,0.14292540166039536,1020,1012
888.36,2076,2020,0.18843388558924667,0.15390013737084152,1056,1008
888.4,2076,2020,0.1820638393942552,0.15935017619303593,1020,1012
888.44,2076,2021,0.17795838977458234,0.1813817714865914,1056,1009
888.48,2078,2021,0.17668715918168876,0.19646270083019768,1022,1012
888.52,2078,2021,0.1695182522316001,0.18809353162515674,1056,1009
888.5600000000001,2078,2021,0.19810357403355217,0.13771426864958491,1022,1012
888.6,2079,2021,0.21603973463929704,0.11315923072328737,1057,1009
888.64,2079,2021,0.2269459206001876,0.11577972884190413,1022,1012
888.6800000000001,2079,2021,0.24276336355110972,0.12140894702263627,1057,1009
888.72,2079,2021,0.2439929144524331,0.12756823747237656,1022,1012
888.76,2079,2021,0.23006495085269707,0.13601206474347494,1057,1009
888.8000000000001,2079,2021,0.2227154319058039,0.1455832288120409,1022,1012
888.84,2079,2023,0.21310826299885377,0.15723735292360985,1057,1011
888.88,2079,2023,0.19870098294605953,0.17355760616376992,1022,1012
888.9200000000001,2079,2024,0.18787120975304783,0.2007779370483187,1057,1012
888.96,2079,2024,0.17965336389844044,0.20595174102610048,1022,1012
889.0,2079,2024,0.16705915042895347,0.1975079137550021,1057,1012
889.04,2080,2024,0.15889687749643988,0.17659618945230837,1023,1012
889.08,2080,2024,0.15259629745406555,0.1494729140536344,1057,1012
889.12,2080,2025,0.14367684345802512,0.14388849071253662,1023,1013
889.16,2080,2025,0.15366607620436945,0.14919667920922175,1057,1012
889.2,2080,2025,0.17785419054565665,0.15004031535567097,1023,1013
889.24,2080,2025,0.17688861102427844,0.1405662067729797,1057,1012
889.28,2080,2025,0.18251536938626656,0.12198381413127879,1023,1013
889.32,2080,2025,0.1867736445416971,0.11611569013916268,1057,1012
889.36,2080,2025,0.18183460109061855,0.11811652630950242,1023,1013
889.4,2080,2025,0.17146330450488,0.12369348384399448,1057,1012
889.44,2080,2025,0.16241186481886705,0.12901660395389114,1023,1013
889.48,2080,2026,0.16760098641936716,0.14101415516932447,1057,1013
889.52,2080,2027,0.1763745614949116,0.15298930896494056,1023,1014
889.5600000000001,2080,2027,0.1820013198568997,0.1689362718748133,1057,1013
889.6,2081,2027,0.18917717342225004,0.15222033088454878,1024,1014
